Product Title,Product URL,Date Scraped,Compressor brand,Water absorption,Hanging force,Panel Density:,Effective Width,core components,Board surface,Grade,Surface material,Insulation material,Fireproof Grade,application,Polyurethane,size,Product name,dimension(l*w*h),Condition,Marketing Type,Application,After Warranty Service,Thermal Conductivity,Raw material,After-sales Service,Dimensional Stability,Sample,Foam insulation value,temperature Range,Warranty period,brand,Door type,Open Style,After-sale Service,After-sales Service Provided,Wind resistance,Processing Service,Warranty of core components,eco-friendly,Product Name,Model Number,Certification,Package,Cold room temperature,Surface Finishing,Opening Method,Keywords,Standard,Doors,Insulation density,Zinc Coating,Single gross weight:,Port,Surface Material,Length,Flame Retardant Rating,brand name,Connection,Features,Sandwich type,Door Type,Color steel thickness,Brand Name,Core material thickness,Keyword,Refrigerant:,Supply Ability,Feature,Metal thickness,Advantage,Applicable Industries,Packaging Details,Panel length,Plate thickness,Metal Sheet Thickness,density,Key words,Colors,Dimension(L*W*H),Metal Surface,OEM/ODM,Packging Detail,Panel Thickness,Warranty,Inside material,Industries,key selling points,Core material,Leading time,Panel width,Temperature,Door Material,Percentage Of Close Area,Panel thickness,Thermal conductivity,Thermal conductivity coefficient,Application:,Size,Thickness of Color Steel,STEEL THICKNESS,Application of Industry,Applicable,Metal plate,Compressor,Functions:,Cooling system,Property,Coating,Cooling approach:,Type,voltage,Single package size:,Origin,temperature,Product Type,Compressive strength,Density,model number,Condensing unit,panel thickness,Cold Room Panel Type,Color,Place of Origin,Product density,Shape,Brand,power,Thickness of panel,Application scenarios,Installation:,Connection System,Selling Units:,Core Material,Tolerance,warranty,feature,Thickness Of Wood Plates,Packing,video outgoing-inspection,Standard Width,Outside material,custom,Local Service Location,Project Solution Capability,Combustion performance,Panel Material,Water Absorption Rate,Weight,Effective Length,Thickness Of Steel Plate,RAL Color,Operating temperature,Surface board material,Dimension,Certification:,Certificate,Design Style,Function,Enterprise Nature,place of origin,Refrigerating unit:,Width,Fireproof,function,Usage,Fire Rating,Dry shrinkage rate,diameter,Water Absorption,Steel Thickness,Material,PU Density,Established,Compressor type,Hardness,Raw Material,Surface,machinery test report,Max Length,Weight (KG),Thickness of Panel,Steel thickness,Thickness of Pu Panel,Panel material,Effective width,Functions,Core density:,Delivery Time,cooling capacity,Metal sheet thickness,Bending strength,door type,Elongation At Break,Thickness,Plate Width,Showroom Location,length,Outer Steel Plate,compressor brand
N/A,https://www.alibaba.com/product-detail/Sandwich-PU-PIR-Panel-for-Cold_1601082060353.html,2025-02-19 15:17:35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,cold room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Free spare parts",N/A,N/A,N/A,N/A,N/A,"Sandwich PU Panel for Cold Storage, PIR Panel for Cold Room",PU Sandwich Panel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.000 kg,N/A,Stainless steel or color steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OnlyKem,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Wood container packing or as customer's requirement,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,-45℃-+20℃,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60X60X60 cm,N/A,N/A,N/A,N/A,40-42kg/cbm,N/A,N/A,N/A,0.426mm-0.5mm sandwich panel,"white,blue,optional","Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3D model design,N/A,Nonmetal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Industrial,N/A,N/A,N/A,N/A,1000/1120mm,N/A,N/A,N/A,B1 grade,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"50mm,75mm,100mm,120mm,150mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chinese Manufacturer Wholesale Sectional 40mm 50mm Sandwich Panel Steel PU Foam Overhead Insulated Garage Door Panels for Villa,https://www.alibaba.com/product-detail/Chinese-Manufacturer-Wholesale-Sectional-40mm-50mm_1600940691665.html?s=p,2025-02-19 15:17:57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Garage Door Panel,N/A,N/A,N/A,Villa,N/A,N/A,N/A,N/A,N/A,N/A,R-value 13.73,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Return and Replacement",N/A,Class 3,N/A,N/A,N/A,N/A,SF40S/SF40/SN40/SN50D,N/A,N/A,N/A,Finished,Electric Side Opening,N/A,N/A,N/A,43-45kg/m3,N/A,10.000 kg,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polymer,N/A,Master Well,N/A,N/A,N/A,N/A,Waterproof,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galvanized Steel,N/A,N/A,N/A,N/A,N/A,Customized Size,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50X50X0.4 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized Color,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,graphic design,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CE, ISO9001",Modern,N/A,Manufacturer and trader,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Galvanized Steel + PU foaming,N/A,Since 2009,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Archi Insulated Cold Storage Sandwich Panel Price Pir Pu Polyurethane Sandwich Cold Room Panels,https://www.alibaba.com/product-detail/Archi-Insulated-Cold-Storage-Sandwich-Panel_11000014640405.html,2025-02-19 15:18:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Insulated Cold Storage Sandwich Panel Price Pir Pu Polyurethane Sandwich Cold Room Panels BEIS,https://www.alibaba.com/product-detail/Insulated-Cold-Storage-Sandwich-Panel-Price_1601243848269.html?s=p,2025-02-19 15:18:49,N/A,N/A,N/A,N/A,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Pump, Engine, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room pu sandwich panel,2.4*2.4*2.4 m / customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sliding / Swing / Hinged Door,N/A,N/A,Overseas service center available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.000 kg,N/A,N/A,N/A,N/A,BEIS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Insulation,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,one year,Polyurethane or rock wool,N/A,Competitive Price,N/A,N/A,N/A,N/A,N/A,N/A,100/150/200 mm,N/A,N/A,N/A,N/A,0.426/0.5/0.6/0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,220 /380 /400V,590X122X10 cm,N/A,N/A,N/A,N/A,N/A,BP-041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10W,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,Color steel or stainless steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Shanghai, China",N/A,N/A,N/A,N/A,cold room / cold storage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Copeland
100mm Cold Room Freezer Refrigeration Storage Pu Sandwich Panel Polyurethane Foam Pu Insulation Panels,https://www.alibaba.com/product-detail/100mm-Cold-Room-Freezer-Refrigeration-Storage_1601047071018.html,2025-02-19 15:19:07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,B1,N/A,N/A,N/A,Polyurethane wall sandwich panels,N/A,N/A,N/A,cold room,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,N/A,\,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,\,50mm/75mm/100mm/150mm/200mm/250mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"White, Grey, Red, Blue or customized","Henan, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized design is welcomed.,N/A,Others,N/A,N/A,N/A,N/A,0~20m or Customerized,N/A,N/A,N/A,"PPGI,stainless steel,Aluminum,Aluminum foil",N/A,N/A,N/A,Traditional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Prepainted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000mm/1120mm,N/A,N/A,N/A,N/A,0.35~0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/High-Density-Cold-Room-Insulation-Panels_1601284817064.html?s=p,2025-02-19 15:19:28,N/A,N/A,N/A,N/A,N/A,"Pressure vessel, motor, Bearing, Gear, Gearbox, PLC, Other",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Custom size,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Online technical support,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,HInged door/Sliding door,N/A,N/A,85.000 kg,N/A,N/A,Customized Length,N/A,HUGECOOL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Easy to Operate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cam-lock/Plug,"220V, 380V, 440V",10X10X15 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.35KW,N/A,N/A,N/A,N/A,Single item,N/A,N/A,1 Year,Container,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,Color steel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cold room insulation,N/A,"Shandong, China",N/A,960mm 1120mm,B1 /B2 Grade OPTIONAL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,0.4-0.6mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/120/150/200mm,N/A,N/A,N/A,N/A,"Copeland, Bitzer"
N/A,https://www.alibaba.com/product-detail/New-Products-Insulated-Sandwich-Cold-Room_1600928448868.html,2025-02-19 15:19:36,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N/A,https://www.alibaba.com/product-detail/PU-Sandwich-Panels-Polyurethane-Foam-PUR_1601257098612.html,2025-02-19 15:19:54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Q235,N/A,N/A,N/A,N/A,N/A,N/A,Sandwich Panel,N/A,N/A,N/A,Building roof and wall cladding,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Cutting, Punching",N/A,N/A,N/A,50mm/75mm/100mm/150mm or at request,N/A,N/A,N/A,N/A,N/A,N/A,AiSi,N/A,N/A,40-275g/m2,N/A,N/A,N/A,customized,N/A,N/A,N/A,"Easy Operation, fire-proof, energy effective","EPS, Rockwool, Glasswool, PU, V1150",N/A,N/A,Sanjuyuan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Z10-Z29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"White, blue, red, green, grey, customized","Hebei, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,±1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,customized,N/A,N/A,N/A,N/A,ISO9001,N/A,N/A,N/A,N/A,N/A,customized,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Q235B EH32,EH36 CCS-A,CCS-B,CCSA,CCSB,CCS,CCSD,CCS",N/A,N/A,N/A,Hard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,negotiation,N/A,N/A,N/A,N/A,N/A,0.18-1.5mm,N/A,N/A,N/A,N/A,N/A
coolrooms cold room storage Cold Room PU Cold Storage Board,https://www.alibaba.com/product-detail/coolrooms-cold-room-storage-Cold-Room_1600057623395.html,2025-02-19 15:20:15,N/A,N/A,N/A,N/A,N/A,compressor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New,Ordinary Product,Cold storage,"Video technical support, Spare parts, Field maintenance and repair service",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Free spare parts, Field installation, commissioning and training, Field maintenance and repair service, Video technical support, Online support",N/A,N/A,1 Year,N/A,N/A,N/A,"ISO9001,CQC",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Shanghai/Guangzhou/Ningbo/Tsingtao/Tianjin/Dalian,N/A,Customized,N/A,WH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000000 Square Meter/Square Meters per   Month,N/A,N/A,Easy Install,"hotels, Garment Shops, Machinery Repair Shops, Manufacturing Plant, Food & Beverage Factory, Farms, Restaurant, Retail, Food Shop, Construction works , Energy & Mining, Food & Beverage Shops, Advertising Company",Each panel covered by PVC protection filmPanels alltogether packed on palletPU Panels packed with double,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Color Steel/Stainless Steel/Galvanized,N/A,N/A,N/A,N/A,N/A,N/A,Sustainable,Polyurethane,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-45℃ ~ +20℃,N/A,N/A,N/A,N/A,N/A,"100MM, 200mm, 120mm, 75mm, Other, 50MM, 150mm",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 years,N/A,N/A,N/A,Provided,N/A,N/A,N/A,None,N/A,N/A,N/A,N/A,42,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Anhui, China",N/A,1160mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50ton,N/A,N/A,N/A,N/A,50mm,N/A,None,N/A,N/A,Bitzer
Modern Design Top-Grade PU/PIR/Polyurethane Cold Storage Panels Energy Efficient Metal Sandwich Panels for Cold Rooms,https://www.alibaba.com/product-detail/Modern-Design-Top-Grade-PU-PIR_1601260179847.html,2025-02-19 15:20:32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PU/PUF/PIR/PUR Foam Insulation Sandwich Panel,N/A,N/A,N/A,Cold Storage/Cool room/Cold Room/Freezer,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Online technical support, Onsite Installation, Onsite Training",N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/150/200/250mm,"CE,ISO",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.000 kg,N/A,N/A,Max 11.8m,N/A,N/A,N/A,N/A,N/A,N/A,N/A,headstream,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5 years,N/A,N/A,N/A,PU/PUR/PIR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30X20X10 cm,N/A,N/A,N/A,N/A,40--45kg/m3,N/A,N/A,N/A,N/A,Ral color,"Shandong, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Modern,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.4-0.7mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/120/ 150/200mm,N/A,N/A,N/A,930/1000/1120mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cold Storage Room With PU Insulated Calmlock Sandwich Panel Cold Room Panel,https://www.alibaba.com/product-detail/Cold-Storage-Room-With-PU-Insulated_1601283818594.html,2025-02-19 15:20:50,N/A,N/A,N/A,45 KGS per cubic meter,N/A,"motor, Compressor, Sandwich Panel, Evaporator, Expansion Valve",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customazition,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1000.000 kg,N/A,N/A,N/A,N/A,YangChuan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,R22/R404a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customazition,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Food Fresh,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Quick-freezing,N/A,N/A,N/A,Water cooled or air cooled,N/A,220v-380V,3X2.3X2.5 cm,N/A,N/A,Build Cold Room Freezers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,With drawing,Cam lock system,Single item,N/A,N/A,3 years,Customazition,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CE,ISO9001",N/A,N/A,N/A,N/A,"Jiangsu, China",Condenser Etc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Provided,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Copeland, Bitzer, Emerson"
N/A,https://www.alibaba.com/product-detail/High-Quality-Cold-Storage-Panels-Warehouse_1601162099723.html,2025-02-19 15:21:06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Commercial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sliding,"Online technical support, Onsite Installation, Onsite Training, Onsite Inspection, Free spare parts, Return and Replacement, Other",N/A,N/A,N/A,N/A,N/A,N/A,Customized,N/A,N/A,N/A,N/A,N/A,PU Cold Room Storage Insulation Sandwich Board Panel Panels,N/A,N/A,N/A,N/A,0.500 kg,N/A,N/A,N/A,N/A,N/A,Cam Lock,N/A,N/A,Hinged/Swing/Sliding Door,N/A,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50/75/100/120/150/200mm,1 Year,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.426/0.5/0.6/0.8mm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50X50X12 cm,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Jiangsu, China",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Single item,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"graphic design, 3D model design, total solution for projects, Cross Categories Consolidation, NONE, Others",N/A,metal,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Customized Size,N/A,ISO9001 CE,Traditional,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Polyurethane Insulation Panels,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
